Item Code,Item Group,Default Unit of Measure,Item Name,HSN/SAC,Alloy,Finish Type,Color Type,Valuation Rate,Disabled,Profile,Standard or NonStandard
NAPTHALENE CUBE,General,Nos,NAPTHALENE CUBE,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
TISSUE PAPER,General,Nos,TISSUE PAPER,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
AGARSON MAKE SAFETY SHOES - 8 NO.,General,Nos,AGARSON MAKE SAFETY SHOES - 8 NO.,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
AGARSON MAKE SAFETY SHOES - 7 NO.,General,Nos,AGARSON MAKE SAFETY SHOES - 7 NO.,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
SAFETY SHOES,General,Nos,SAFETY SHOES,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
AGARSON MAKE SAFETY SHOES - 9 NO.,General,Nos,AGARSON MAKE SAFETY SHOES - 9 NO.,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
AGARSON MAKE  SAFETY SHOES - 10 NO.,General,Nos,AGARSON MAKE  SAFETY SHOES - 10 NO.,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
SHARPNER (OFFICE USE),General,Nos,SHARPNER (OFFICE USE),76041031,NA,NA,NATURAL,100,0,0,Non-Standard
6 SQ MM LUG - ID 8MM,General,Meter,6 SQ MM LUG - ID 8MM,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
UHP GAS ARGON 99.999%,General,Nos,UHP GAS ARGON 99.999%,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
PAPER RIM,General,Nos,PAPER RIM,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
COTTON WASTE (CHINDI),General,Kg,COTTON WASTE (CHINDI),76041031,NA,NA,NATURAL,100,0,0,Non-Standard
10X12 COMPUTER PAPER (CUT LENTH -100MM WIDTH-255MM),General,Box,10X12 COMPUTER PAPER (CUT LENTH -100MM WIDTH-255MM),76041031,NA,NA,NATURAL,100,0,0,Non-Standard
V BELT B-76,General,Nos,V BELT B-76,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
REFRIGERATED AIR DRYER - SPIN MAKE (150 CFM),General,Nos,REFRIGERATED AIR DRYER - SPIN MAKE (150 CFM),76041031,NA,NA,NATURAL,100,0,0,Non-Standard
2.5 SQ MM 3 CORE COPPER FLEXIBLE CABLE-POLYCAB,General,Meter,2.5 SQ MM 3 CORE COPPER FLEXIBLE CABLE-POLYCAB,76041031,COPPER,NA,NATURAL,100,0,0,Non-Standard
SERVICE CHARGES,General,Nos,SERVICE CHARGES,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
CRUSH SAND,General,Brass,CRUSH SAND,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
DEGREE PROTECTOR,General,Nos,DEGREE PROTECTOR,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
LAMINATE SHEET DARK - BROWN (5112-VZ),General,Nos,LAMINATE SHEET DARK - BROWN (5112-VZ),76041031,NA,NA,NATURAL,100,0,0,Non-Standard
LAMINATE SHEET WHITE COLOUR,General,Nos,LAMINATE SHEET WHITE COLOUR,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
CHAIR,General,Nos,CHAIR,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
CITIZEN CT-555 N (12 DIGIT),General,Nos,CITIZEN CT-555 N (12 DIGIT),76041031,NA,NA,NATURAL,100,0,0,Non-Standard
SCALE,General,Nos,SCALE,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
DOOR CLOSER  AS PER IMAGE,General,Nos,DOOR CLOSER  AS PER IMAGE,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
3W LED SPOT LIGHT,General,Nos,3W LED SPOT LIGHT,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
WHITE BOARD 4X3 FT.,General,Nos,WHITE BOARD 4X3 FT.,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
WHITE BOARD MARKER,General,Nos,WHITE BOARD MARKER,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
BLACK MARKER PERMANANT,General,Nos,BLACK MARKER PERMANANT,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
RED MARKER,General,Nos,RED MARKER,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
KOEL CARE PREMIUM GENUINE OIL,General,Nos,KOEL CARE PREMIUM GENUINE OIL,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
SAFETY GUARD FOR STROKE LENGTH 75 TO 150 MM POWER PRESS,General,Set,SAFETY GUARD FOR STROKE LENGTH 75 TO 150 MM POWER PRESS,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
PAINT ROLLER,General,Nos,PAINT ROLLER,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
UMBRELLA,General,Nos,UMBRELLA,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
LOCKTITE 50 ML,General,Nos,LOCKTITE 50 ML,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
BANGUR CEMENT,General,Nos,BANGUR CEMENT,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
T BOLT - 16*200 WITH NUT,General,Nos,T BOLT - 16*200 WITH NUT,76041031,NA,Finished,NATURAL,100,0,0,Non-Standard
ICE BOX,General,Nos,ICE BOX,76041031,NA,NA,NA,100,0,0,Non-Standard
SURGICAL MASK DISPOSABLE,General,Nos,SURGICAL MASK DISPOSABLE,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
OTHER,General,LTR,OTHER,76041031,NA,NA,NA,100,0,0,Non-Standard
BLUE PAINT,General,LTR,BLUE PAINT,76041031,NA,NA,NA,100,0,0,Non-Standard
REGULER GREEN  ENVELOPE,General,Nos,REGULER GREEN  ENVELOPE,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
BLUE SHIRT,General,Nos,BLUE SHIRT,76041031,NA,NA,NA,100,0,0,Non-Standard
GRAY SHIRT,General,Nos,GRAY SHIRT,76041031,NA,NA,NA,100,0,0,Non-Standard
BLACK PANT,General,Nos,BLACK PANT,76041031,NA,NA,NA,100,0,0,Non-Standard
LOGO EMBROIDARY CHARGES,General,Nos,LOGO EMBROIDARY CHARGES,76041031,NA,NA,NA,100,0,0,Non-Standard
RAIN COAT  XL SIZE,General,Nos,RAIN COAT  XL SIZE,76041031,NA,NA,NA,100,0,0,Non-Standard
T BOLT - 16*150 WITH NUT,General,Nos,T BOLT - 16*150 WITH NUT,76041031,NA,NA,NA,100,0,0,Non-Standard
T BOLT - 16*100 WITH NUT,General,Nos,T BOLT - 16*100 WITH NUT,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
GI SHEET,General,Kg,GI SHEET,76041031,NA,NA,NA,100,0,0,Non-Standard
DIGITAL DEGREE PROTECTOR 300 MM-INSIZE,General,Nos,DIGITAL DEGREE PROTECTOR 300 MM-INSIZE,76041031,NA,NA,NA,100,0,0,Non-Standard
ALLEN BOLT M8*30 WITH FLAT WASHER,General,Nos,ALLEN BOLT M8*30 WITH FLAT WASHER,76041031,NA,Finished,NA,100,0,0,Non-Standard
MANGALAM WELDING ROD 6013-3.15 MM (300 MM LENGTH),General,PKT,MANGALAM WELDING ROD 6013-3.15 MM (300 MM LENGTH),76041031,NA,NA,NA,100,0,0,Non-Standard
CYW  EDUCATION TOUR  EVENT AT THE FACTORY,General,Nos,CYW  EDUCATION TOUR  EVENT AT THE FACTORY,76041031,NA,NA,NA,100,0,0,Non-Standard
FACTORY BRANDING LONG TERM,General,Nos,FACTORY BRANDING LONG TERM,76041031,NA,NA,NA,100,0,0,Non-Standard
SERVICE ACCOUNTING CODE-998439 OTHER ONLINE CONTENTS VALIDITY-1 YEAR,General,Kg,SERVICE ACCOUNTING CODE-998439 OTHER ONLINE CONTENTS VALIDITY-1 YEAR,76041031,NA,NA,NA,100,0,0,Non-Standard
BIG PERMANANT MARKER,General,Nos,BIG PERMANANT MARKER,76041031,NA,NA,NA,100,0,0,Non-Standard
COOLANT MIST SPRAY NOZZLE- TURTKISH,General,Nos,COOLANT MIST SPRAY NOZZLE- TURTKISH,76041031,NA,NA,NA,100,0,0,Non-Standard
450*3.8*30 MM 96 TEETH MACHINE BLADE,General,Nos,450*3.8*30 MM 96 TEETH MACHINE BLADE,76041031,NA,NA,NA,100,0,0,Non-Standard
NILKAMAL MAKE DUSTBIN WITH WHEEL (GREEN COLOUR) - CAPACITY 120 LTR,General,Nos,NILKAMAL MAKE DUSTBIN WITH WHEEL (GREEN COLOUR) - CAPACITY 120 LTR,76041031,NA,NA,NA,100,0,0,Non-Standard
KNEST BRAND FILM AND ANTHEM PRODUCTION,General,Nos,KNEST BRAND FILM AND ANTHEM PRODUCTION,76041031,NA,NA,NA,100,0,0,Non-Standard
ROTORY WELDING FIXTURE AS PER ATTACHED ANNEXURE,General,Nos,ROTORY WELDING FIXTURE AS PER ATTACHED ANNEXURE,76041031,NA,NA,NA,100,0,0,Non-Standard
SINGLE STROKE SPRING ACTING CYLINDER (200MM),General,Nos,SINGLE STROKE SPRING ACTING CYLINDER (200MM),76041031,NA,NA,NA,100,0,0,Non-Standard
JANATICS PU PIPE 6 MM,General,Meter,JANATICS PU PIPE 6 MM,76041031,NA,NA,NA,100,0,0,Non-Standard
FEMALE PU CONNECTOR 1/4*8 MM,General,Nos,FEMALE PU CONNECTOR 1/4*8 MM,76041031,NA,NA,NA,100,0,0,Non-Standard
FEMALE PU CONNECTOR 1/4*10 MM,General,Nos,FEMALE PU CONNECTOR 1/4*10 MM,76041031,NA,NA,NA,100,0,0,Non-Standard
FLOW CONTROL VALVE M5* 6 MM  JANATICS,General,Nos,FLOW CONTROL VALVE M5* 6 MM  JANATICS,76041031,NA,NA,NA,100,0,0,Non-Standard
SMC 8 MM PROXIMITY SENSOR,General,Nos,SMC 8 MM PROXIMITY SENSOR,76041031,NA,NA,NA,100,0,0,Non-Standard
YELLOW NYLON RODDIA 30 MM,General,Meter,YELLOW NYLON RODDIA 30 MM,76041031,NA,NA,NA,100,0,0,Non-Standard
COCOUN WRAP HIGH MOLECULAR COMPOSITE FABRIC 125 GSM 178X55X78 INCH,General,Nos,COCOUN WRAP HIGH MOLECULAR COMPOSITE FABRIC 125 GSM 178X55X78 INCH,76041031,NA,NA,NA,100,0,0,Non-Standard
1X1/2X1 INCH BTC PATTI,General,Running Feet,1X1/2X1 INCH BTC PATTI,76041031,NA,NA,NA,100,0,0,Non-Standard
8X4 INCH 8MM THK PLYWOOD,General,Nos,8X4 INCH 8MM THK PLYWOOD,76041031,NA,NA,NA,100,0,0,Non-Standard
GOODS RECEIPT NOTE BOOK,General,Nos,GOODS RECEIPT NOTE BOOK,76041031,NA,NA,NA,100,0,0,Non-Standard
MATERIAL INWARD REGISTER,General,Nos,MATERIAL INWARD REGISTER,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
MATERIAL OUTWARD REGISTER,General,Nos,MATERIAL OUTWARD REGISTER,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
DEGREE  PROTECTOR,General,Nos,DEGREE  PROTECTOR,76041031,NA,NA,NA,100,0,0,Non-Standard
KNEST Verticals VCARD,General,Nos,KNEST Verticals VCARD,76041031,NA,NA,NA,100,0,0,Non-Standard
Domain Renewal Charges,General,Nos,Domain Renewal Charges,76041031,NA,NA,NA,100,0,0,Non-Standard
KNEST Mfg VCARD,General,Nos,KNEST Mfg VCARD,76041031,NA,NA,NA,100,0,0,Non-Standard
LAMINATE SHEET - 5016 DG,General,Nos,LAMINATE SHEET - 5016 DG,76041031,NA,NA,NA,100,0,0,Non-Standard
PHENYL LIQUID,General,LTR,PHENYL LIQUID,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
17*26*80 MM KICKER SLOT PUNCH,General,Nos,17*26*80 MM KICKER SLOT PUNCH,76041031,NA,NA,NA,100,0,0,Non-Standard
180*100*15 MM MS PLATE (M8  TAPPING)-AS PER DRAWING,General,Nos,180*100*15 MM MS PLATE (M8  TAPPING)-AS PER DRAWING,76041031,NA,Finished,NA,100,0,0,Non-Standard
180*100*15 MM MS PLATE(M10 DRILL )-AS PER DRAWING,General,Nos,180*100*15 MM MS PLATE(M10 DRILL )-AS PER DRAWING,76041031,NA,Finished,NATURAL,100,0,0,Non-Standard
TWO WAY PNEUMATIC SWITCH 1/4INCH -(JANATICS DS255HD61),General,Nos,TWO WAY PNEUMATIC SWITCH 1/4INCH -(JANATICS DS255HD61),76041031,NA,NA,NA,100,0,0,Non-Standard
M12 PROXIMITY SENSOR- OMRON -  E2B-M12KN08-M1-B1,General,Nos,M12 PROXIMITY SENSOR- OMRON -  E2B-M12KN08-M1-B1,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
STRAIGHT PU CONNECTOR 6 MM PIPE (JANATICS),General,Nos,STRAIGHT PU CONNECTOR 6 MM PIPE (JANATICS),76041031,NA,NA,NA,100,0,0,Non-Standard
T PU CONNECTOR 6 MM PIPE (JANATICS ),General,Nos,T PU CONNECTOR 6 MM PIPE (JANATICS ),76041031,NA,NA,NATURAL,100,0,0,Non-Standard
M12  4 PIN FEMALE SENSOR CONNECTOR,General,Nos,M12  4 PIN FEMALE SENSOR CONNECTOR,76041031,NA,NA,NA,100,0,0,Non-Standard
COPPER TERMINAL BLOCK STRIP-8 WAY,General,Nos,COPPER TERMINAL BLOCK STRIP-8 WAY,76041031,COPPER,Finished,NATURAL,100,0,0,Non-Standard
200X50 MM NYLON WHEEL - SWIVEL TYPE WITHOUT BREAK,General,Nos,200X50 MM NYLON WHEEL - SWIVEL TYPE WITHOUT BREAK,76041031,NA,NA,NA,100,0,0,Non-Standard
CABLE TRAY 2500*100*50MM WITH COVER-MS GI 18 GAUGE,General,Meter,CABLE TRAY 2500*100*50MM WITH COVER-MS GI 18 GAUGE,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
"Grinding, allinment & assy charges",General,Nos,"Grinding, allinment & assy charges",76041031,NA,NA,NA,100,0,0,Non-Standard
12 FT GI SHEET,General,Nos,12 FT GI SHEET,76041031,NA,NA,NA,100,0,0,Non-Standard
14 FT GI SHEET,General,Nos,14 FT GI SHEET,76041031,NA,NA,NA,100,0,0,Non-Standard
22FT GI SHEET,General,Nos,22FT GI SHEET,76041031,NA,NA,NA,100,0,0,Non-Standard
MS PLATE 200X200X8 MM,General,Nos,MS PLATE 200X200X8 MM,76041031,NA,NA,NA,100,0,0,Non-Standard
FRONIUS WATER COOLANT 30 LIT CAN,General,LTR,FRONIUS WATER COOLANT 30 LIT CAN,76041031,NA,Finished,NATURAL,100,0,0,Non-Standard
TRANSPORTATION CHARGES-,General,Nos,TRANSPORTATION CHARGES-,76041031,NA,NA,NA,100,0,0,Non-Standard
"FITTING, INSTALLATON & TRANSPORT CHARGES",General,Nos,"FITTING, INSTALLATON & TRANSPORT CHARGES",76041031,NA,NA,NA,100,0,0,Non-Standard
POINT MARKER BLACK,General,Nos,POINT MARKER BLACK,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
HORIZONTAL BELT GRINDER,General,Nos,HORIZONTAL BELT GRINDER,76041031,NA,NA,NA,100,0,0,Non-Standard
HORIZONTAL GRINDER BELT,General,Nos,HORIZONTAL GRINDER BELT,76041031,NA,NA,NA,100,0,0,Non-Standard
POINT MARKER INK (BLACK)-100ML,General,Nos,POINT MARKER INK (BLACK)-100ML,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
DUST PAN,General,Nos,DUST PAN,76041031,NA,NA,NA,100,0,0,Non-Standard
PAPER CUTTER,General,Nos,PAPER CUTTER,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
 Media and marketing / brand building activities for KNEST aluform,General,Nos, Media and marketing / brand building activities for KNEST aluform,76041031,NA,NA,NA,100,0,0,Non-Standard
RUBBER STAMP (GRN),General,Nos,RUBBER STAMP (GRN),76041031,NA,NA,NATURAL,100,0,0,Non-Standard
ROOM FRESHNER,General,Nos,ROOM FRESHNER,76041031,NA,NA,NATURAL,100,0,0,Non-Standard
DOOR STOPPER,General,Nos,DOOR STOPPER,76041031,NA,NA,NA,100,0,0,Non-Standard
FEVICOL,General,Kg,FEVICOL,76041031,NA,NA,NA,100,0,0,Non-Standard
DOOR CATCHER,General,Nos,DOOR CATCHER,76041031,NA,NA,NA,100,0,0,Non-Standard
W HINGES 2 INCH,General,Nos,W HINGES 2 INCH,76041031,NA,NA,NA,100,0,0,Non-Standard
W HINGES 3 INCH,General,Nos,W HINGES 3 INCH,76041031,NA,NA,NA,100,0,0,Non-Standard
L HINGES 3 INCH,General,Nos,L HINGES 3 INCH,76041031,NA,NA,NA,100,0,0,Non-Standard
MAGNET,General,Nos,MAGNET,76041031,NA,NA,NA,100,0,0,Non-Standard
DRAWER LOCK,General,Nos,DRAWER LOCK,76041031,NA,NA,NA,100,0,0,Non-Standard
HEATAX,General,LTR,HEATAX,76041031,NA,NA,NA,100,0,0,Non-Standard
CABLE MANAGER,General,Nos,CABLE MANAGER,76041031,NA,NA,NA,100,0,0,Non-Standard
TELESCOPIC CHANNEL 10 INCH,General,Nos,TELESCOPIC CHANNEL 10 INCH,76041031,NA,NA,NA,100,0,0,Non-Standard
