Item Code,Item Group,Default Unit of Measure,Item Name,HSN/SAC
3/4 INCH CPVC ELBOW,Consumable,Nos,3/4 INCH CPVC ELBOW,98059000
3/4X1/2 INCH CPVC R/ELBOW MEALLIC,Consumable,Nos,3/4X1/2 INCH CPVC R/ELBOW MEALLIC,98059000
3/4 INCH CPVC COUPLER,Consumable,Nos,3/4 INCH CPVC COUPLER,98059000
3/4 INCH CPVC TEE,Consumable,Nos,3/4 INCH CPVC TEE,98059000
3/4 INCH CPVC BY PASS BEND,Consumable,Nos,3/4 INCH CPVC BY PASS BEND,98059000
1/2 INCH GI CLIP,Consumable,Nos,1/2 INCH GI CLIP,98059000
1 INCH GI CLIP,Consumable,Nos,1 INCH GI CLIP,98059000
PLUMBING NAILS 11/2 INCH,Consumable,Nos,PLUMBING NAILS 11/2 INCH,98059000
4 S W GULLY TRAP,Consumable,Nos,4 S W GULLY TRAP,98059000
1X3/4 INCH UPVC RED/TEE,Consumable,Nos,1X3/4 INCH UPVC RED/TEE,98059000
1X3/4 UPVC REDUCER,Consumable,Nos,1X3/4 UPVC REDUCER,98059000
1 INCH UPVC TEE,Consumable,Nos,1 INCH UPVC TEE,98059000
3/4X1/2 INCH UPVC R/FTA METALLIC,Consumable,Nos,3/4X1/2 INCH UPVC R/FTA METALLIC,98059000
50MM PVC ELBOW,Consumable,Nos,50MM PVC ELBOW,98059000
50MM PVC END CAP,Consumable,Nos,50MM PVC END CAP,98059000
1 INCH UPVC COUPLER,Consumable,Nos,1 INCH UPVC COUPLER,98059000
1 INCH UPVC ELBOW,Consumable,Nos,1 INCH UPVC ELBOW,98059000
1 INCH UPVC BALL VALVE,Consumable,Nos,1 INCH UPVC BALL VALVE,98059000
1 INCH GI TANK NIPPLE,Consumable,Nos,1 INCH GI TANK NIPPLE,98059000
PLASTIC SOFT BROOM,Consumable,Nos,PLASTIC SOFT BROOM,98059000
EVARA ANGLE COCK,Consumable,Nos,EVARA ANGLE COCK,98059000
DOOR MAT 399 GREEN 19*32,Consumable,Nos,DOOR MAT 399 GREEN 19*32,98059000
DOOR MAT CUSHION MAT RED COLOUR,Consumable,Nos,DOOR MAT CUSHION MAT RED COLOUR,98059000
OIL LEVEL INDICATOR,Consumable,Nos,OIL LEVEL INDICATOR,98059000
AIR LUBE OIL 000998044,Consumable,Nos,AIR LUBE OIL 000998044,98059000
BREATHER  VALVE,Consumable,Nos,BREATHER  VALVE,98059000
AIR FILTER B TYPE,Consumable,Nos,AIR FILTER B TYPE,98059000
RUBBER BUSH & BELT,Consumable,Nos,RUBBER BUSH & BELT,98059000
NRV 1 INCH KIT,Consumable,Nos,NRV 1 INCH KIT,98059000
AIR COMPRESSOR REPAIRING SERVICING CHARGES,Consumable,Nos,AIR COMPRESSOR REPAIRING SERVICING CHARGES,98059000
FOR IR NEW MODEL 4 INCH RING SET,Consumable,Nos,FOR IR NEW MODEL 4 INCH RING SET,98059000
FOR IR NEW MODEL 2.5 INCH RING SET,Consumable,Nos,FOR IR NEW MODEL 2.5 INCH RING SET,98059000
GASKET SET 242,Consumable,Nos,GASKET SET 242,98059000
AIR FILTER ELEMENT T-LINE,Consumable,Nos,AIR FILTER ELEMENT T-LINE,98059000
VALVE FINGER,Consumable,Nos,VALVE FINGER,98059000
BUSHING CRANK PIN242/2475,Consumable,Nos,BUSHING CRANK PIN242/2475,98059000
V-BELT ECODRIVE A73,Consumable,Nos,V-BELT ECODRIVE A73,98059000
BDV TEST,Consumable,Nos,BDV TEST,98059000
OIL TOP UP,Consumable,Nos,OIL TOP UP,98059000
EARTH TESTING,Consumable,Nos,EARTH TESTING,98059000
SILICA GEL REPLACEMENT,Consumable,Nos,SILICA GEL REPLACEMENT,98059000
ACIDITY & MEAGER TEST,Consumable,Nos,ACIDITY & MEAGER TEST,98059000
LEAKAGE REPAIRING,Consumable,Nos,LEAKAGE REPAIRING,98059000
SINGLE CORE 1.5 SQ MM CABLE POLYCAB-BLACK COLOUR,Consumable,Nos,SINGLE CORE 1.5 SQ MM CABLE POLYCAB-BLACK COLOUR,98059000
VACCINATION,Consumable,Nos,VACCINATION,98059000
CHADOX 1 NCOV-19 CORONA VIRUS VACCINE (RECOMBINANT) COVISHIELD,Consumable,Nos,CHADOX 1 NCOV-19 CORONA VIRUS VACCINE (RECOMBINANT) COVISHIELD,98059000
STAFF CHARGES,Consumable,Nos,STAFF CHARGES,98059000
ON SITE CONSULTATION CHARGES,Consumable,Nos,ON SITE CONSULTATION CHARGES,98059000
GOLDEN YELLOW PAINT BERGER MAKE,Consumable,Nos,GOLDEN YELLOW PAINT BERGER MAKE,98059000
PLIER,Consumable,Nos,PLIER,98059000
HAMMER 0.5 KG,Consumable,Nos,HAMMER 0.5 KG,98059000
GREEN CLOTH COVER ENVELOPE - SIZE A4,Consumable,Nos,GREEN CLOTH COVER ENVELOPE - SIZE A4,98059000
MAKITA MAKE ( N5900B )CUTTING MACHINE -DIA. 235MM,Consumable,Nos,MAKITA MAKE ( N5900B )CUTTING MACHINE -DIA. 235MM,98059000
ROTORY FIXTURE- CAPACITY 2 TON,Consumable,Nos,ROTORY FIXTURE- CAPACITY 2 TON,98059000
ALLEN BOLT- 8*35 FULL THREADED,Consumable,Nos,ALLEN BOLT- 8*35 FULL THREADED,98059000
WELDING HELMET,Consumable,Nos,WELDING HELMET,98059000
ALLEN BOLT 12*35 FULL THREADED,Consumable,Nos,ALLEN BOLT 12*35 FULL THREADED,98059000
ALLEN BOLT M5 *40,Consumable,Nos,ALLEN BOLT M5 *40,98059000
ALLEN BOLT M6*10,Consumable,Nos,ALLEN BOLT M6*10,98059000
ALLEN BOLT M10*30,Consumable,Nos,ALLEN BOLT M10*30,98059000
CHEMICAL FASTNER GUN,Consumable,Nos,CHEMICAL FASTNER GUN,98059000
RIGHT ANGLE -10 INCH SAGAR MAKE,Consumable,Nos,RIGHT ANGLE -10 INCH SAGAR MAKE,98059000
RIGHT ANGLE -12 INCH SAGAR MAKE,Consumable,Nos,RIGHT ANGLE -12 INCH SAGAR MAKE,98059000
WHITE PENCIL,Consumable,Nos,WHITE PENCIL,98059000
AUTO DARKNING HELMET,Consumable,Nos,AUTO DARKNING HELMET,98059000
PVC FLEXIBLE CLEAR  CURTAIN TRANSPERANT,Consumable,Nos,PVC FLEXIBLE CLEAR  CURTAIN TRANSPERANT,98059000
SPRAY NOZZOLE,Consumable,Nos,SPRAY NOZZOLE,98059000
JEANS HAND GLOVES,Consumable,Nos,JEANS HAND GLOVES,98059000
CUTTER BLADE REGULER,Consumable,Nos,CUTTER BLADE REGULER,98059000
COMOD,Consumable,Nos,COMOD,98059000
WASH BASIN,Consumable,Nos,WASH BASIN,98059000
405 AMP PSF TORCH REPAIR -BLACK HANDLE,Consumable,Nos,405 AMP PSF TORCH REPAIR -BLACK HANDLE,98059000
TORCH CRIMPING NIPPLE,Consumable,Nos,TORCH CRIMPING NIPPLE,98059000
PSF BRASS ADAPTOR,Consumable,Nos,PSF BRASS ADAPTOR,98059000
INSECT KILLER MACHINE,Consumable,Nos,INSECT KILLER MACHINE,98059000
STEEL TOE GUMBOOT -7 NO TORPEDO  MAKE,Consumable,Nos,STEEL TOE GUMBOOT -7 NO TORPEDO  MAKE,98059000
STEEL TOE GUMBOOT -8 NO TORPEDO  MAKE,Consumable,Nos,STEEL TOE GUMBOOT -8 NO TORPEDO  MAKE,98059000
STEEL TOE GUMBOOT -9 NO TORPEDO  MAKE,Consumable,Nos,STEEL TOE GUMBOOT -9 NO TORPEDO  MAKE,98059000
STEEL TOE GUMBOOT -10 NO TORPEDO  MAKE,Consumable,Nos,STEEL TOE GUMBOOT -10 NO TORPEDO  MAKE,98059000
LASHING BELT 25 MM 1.5 TON,Consumable,Nos,LASHING BELT 25 MM 1.5 TON,98059000
WHITE LAMINATE FOR OFFICE,Consumable,Nos,WHITE LAMINATE FOR OFFICE,98059000
12 MM 8X4 PLYWOOD,Consumable,Nos,12 MM 8X4 PLYWOOD,98059000
HEATX SR,Consumable,Nos,HEATX SR,98059000
BTC 1 X 1/4,Consumable,Nos,BTC 1 X 1/4,98059000
AIR COMPRESSOR REPAIRING,Consumable,Nos,AIR COMPRESSOR REPAIRING,98059000
MS DOUBLE NIPPLE,Consumable,Nos,MS DOUBLE NIPPLE,98059000
ELBOW 1 1/4 INCH,Consumable,Nos,ELBOW 1 1/4 INCH,98059000
MS BARREL NIPPLE 1 1/4 INCH,Consumable,Nos,MS BARREL NIPPLE 1 1/4 INCH,98059000
CYLINDER  HEAD 100 MM,Consumable,Nos,CYLINDER  HEAD 100 MM,98059000
V-BELT B 76,Consumable,Nos,V-BELT B 76,98059000
ALLEN BOLT 10*30,Consumable,Nos,ALLEN BOLT 10*30,98059000
FREIGHT CHARGES,Consumable,Nos,FREIGHT CHARGES,98059000
ADJUSTABLE SPANNER 40 MM OPENING -TAPARIA,Consumable,Nos,ADJUSTABLE SPANNER 40 MM OPENING -TAPARIA,98059000
5 MM DRILL BIT,Consumable,Nos,5 MM DRILL BIT,98059000
WHITE WELDING GLASS,Consumable,Nos,WHITE WELDING GLASS,98059000
3 POLE MCB,Consumable,Nos,3 POLE MCB,98059000
"150 TON PRESS M/C -STOPPER PIN FOR MACHINING,THREADING",Consumable,Nos,"150 TON PRESS M/C -STOPPER PIN FOR MACHINING,THREADING",98059000
VELCRO DISC 6 INCH 60 GRIT,Consumable,Nos,VELCRO DISC 6 INCH 60 GRIT,98059000
ORBITAL SANDER 6INCH-METABO,Consumable,Nos,ORBITAL SANDER 6INCH-METABO,98059000
2 POLE MCB BOX,Consumable,Nos,2 POLE MCB BOX,98059000
35 SQ.MM 3.5 CORE ARMURD CABLE,Consumable,Nos,35 SQ.MM 3.5 CORE ARMURD CABLE,98059000
200 AMP 4 POLE MCCB WITH METAL BOX,Consumable,Nos,200 AMP 4 POLE MCCB WITH METAL BOX,98059000
200 AMP BUSBAR,Consumable,Nos,200 AMP BUSBAR,98059000
200 AMP BASBAR FUSE,Consumable,Nos,200 AMP BASBAR FUSE,98059000
35 SQ.MM CABLE LUGS,Consumable,Nos,35 SQ.MM CABLE LUGS,98059000
200 AMP MCB BOX,Consumable,Nos,200 AMP MCB BOX,98059000
200 AMP BUS BAR,Consumable,Nos,200 AMP BUS BAR,98059000
100 AMP BUS BAR,Consumable,Nos,100 AMP BUS BAR,98059000
DOOR LOCK AS PER IMAGE,Consumable,Nos,DOOR LOCK AS PER IMAGE,98059000
WOODEN PALLET 1200X1200,Consumable,Nos,WOODEN PALLET 1200X1200,98059000
12 INCH 24TPI  HACKSAW BLADE -MIRANDA,Consumable,Nos,12 INCH 24TPI  HACKSAW BLADE -MIRANDA,98059000
32 GRADE LUBRICATION OIL FOR MACHINES,Consumable,Nos,32 GRADE LUBRICATION OIL FOR MACHINES,98059000
6 SQ MM COPPER LUG,Consumable,Nos,6 SQ MM COPPER LUG,98059000
6 SQ MM U SHAPE LUG,Consumable,Nos,6 SQ MM U SHAPE LUG,98059000
HOSE CLIP 1 INCH,Consumable,Nos,HOSE CLIP 1 INCH,98059000
HOSE CLIP 1/2 INCH,Consumable,Nos,HOSE CLIP 1/2 INCH,98059000
M12 SENSOR CABLE,Consumable,Nos,M12 SENSOR CABLE,98059000
M8 SENSOR CABLE,Consumable,Nos,M8 SENSOR CABLE,98059000
RED OXIDE PRIMER,Consumable,Nos,RED OXIDE PRIMER,98059000
CABLE CONNECTOR-M8 ( 2MTR ),Consumable,Nos,CABLE CONNECTOR-M8 ( 2MTR ),98059000
HAMMER DRILL MACHINE,Consumable,Nos,HAMMER DRILL MACHINE,98059000
PINEWOOD PALLET   2400X1200 MM,Consumable,Nos,PINEWOOD PALLET   2400X1200 MM,98059000
UPVC SOLVANT 59 ML,Consumable,Nos,UPVC SOLVANT 59 ML,98059000
6AMP SOCKET ANCHOR,Consumable,Nos,6AMP SOCKET ANCHOR,98059000
FAN HOOK,Consumable,Nos,FAN HOOK,98059000
1/2 INCH GI CLAMP,Consumable,Nos,1/2 INCH GI CLAMP,98059000
GI NUT 12M,Consumable,Nos,GI NUT 12M,98059000
UPVC SOLVENT 100 ML,Consumable,Nos,UPVC SOLVENT 100 ML,98059000
1*3/4 UPVC R/S,Consumable,Nos,1*3/4 UPVC R/S,98059000
1*1/2 UPVC R/S,Consumable,Nos,1*1/2 UPVC R/S,98059000
3/4 UPVC PIPE,Consumable,Nos,3/4 UPVC PIPE,98059000
1/2 UPVC PIPE,Consumable,Nos,1/2 UPVC PIPE,98059000
YELLOW OIL PAINT,Consumable,Nos,YELLOW OIL PAINT,98059000
2INCH BRUSH,Consumable,Nos,2INCH BRUSH,98059000
ANGLE COCK CP,Consumable,Nos,ANGLE COCK CP,98059000
BLACK OIL PAINT,Consumable,Nos,BLACK OIL PAINT,98059000
3/4 CPVC PIPE,Consumable,Nos,3/4 CPVC PIPE,98059000
3/4 CPVC SOCKET,Consumable,Nos,3/4 CPVC SOCKET,98059000
1INCH BRUSH,Consumable,Nos,1INCH BRUSH,98059000
2INCH GI ELBOW,Consumable,Nos,2INCH GI ELBOW,98059000
2 INCH GI HEX NIPPLE,Consumable,Nos,2 INCH GI HEX NIPPLE,98059000
PRIMER 20 LIT,Consumable,Nos,PRIMER 20 LIT,98059000
100 ML BLACK STAINER,Consumable,Nos,100 ML BLACK STAINER,98059000
100 ML BLUE STAINER,Consumable,Nos,100 ML BLUE STAINER,98059000
12*25 SELF SCREW,Consumable,Nos,12*25 SELF SCREW,98059000
GI HEX BOLT 12*75,Consumable,Nos,GI HEX BOLT 12*75,98059000
ALLEN BOLT 8*40,Consumable,Nos,ALLEN BOLT 8*40,98059000
ALLEN BOLT 6*40,Consumable,Nos,ALLEN BOLT 6*40,98059000
4.1 HSS BIT,Consumable,Nos,4.1 HSS BIT,98059000
GI NUT 12 MM,Consumable,Nos,GI NUT 12 MM,98059000
4 INCH HINGES,Consumable,Nos,4 INCH HINGES,98059000
3/6*2INCH SCREW BOLT,Consumable,Nos,3/6*2INCH SCREW BOLT,98059000
4INCH CUT OFF WHEEL,Consumable,Nos,4INCH CUT OFF WHEEL,98059000
8 INCH MAGNET BIT,Consumable,Nos,8 INCH MAGNET BIT,98059000
1/2 FLEXIBLE PIPE,Consumable,Nos,1/2 FLEXIBLE PIPE,98059000
ABRO TAPE 3/4,Consumable,Nos,ABRO TAPE 3/4,98059000
TABLE TRAY 150 MM,Consumable,Nos,TABLE TRAY 150 MM,98059000
LINE DORI,Consumable,Nos,LINE DORI,98059000
1 UPVC B/MTA,Consumable,Nos,1 UPVC B/MTA,98059000
GI BOLT & NUT 6 X 25,Consumable,Nos,GI BOLT & NUT 6 X 25,98059000
BRASS FTA UPVC 1/2 INCH,Consumable,Nos,BRASS FTA UPVC 1/2 INCH,98059000
UPVC BRASS TEE 1/2 INCH,Consumable,Nos,UPVC BRASS TEE 1/2 INCH,98059000
UPVC TEE 1/2 INCH,Consumable,Nos,UPVC TEE 1/2 INCH,98059000
PRIMER PAINT,Consumable,Nos,PRIMER PAINT,98059000
GI JALI 3 X 4 FEET,Consumable,Nos,GI JALI 3 X 4 FEET,98059000
TAB TRAY 200 MM,Consumable,Nos,TAB TRAY 200 MM,98059000
GREY PAINT,Consumable,Nos,GREY PAINT,98059000
1/2 INCH BRASS BALL VALVE,Consumable,Nos,1/2 INCH BRASS BALL VALVE,98059000
HEX NIPPLE 1/2 INCH,Consumable,Nos,HEX NIPPLE 1/2 INCH,98059000
1/2 UPVC BRASS ELBOW,Consumable,Nos,1/2 UPVC BRASS ELBOW,98059000
8 X 1/2 PU CONNECTOR,Consumable,Nos,8 X 1/2 PU CONNECTOR,98059000
1 INCH FOOT VALVE,Consumable,Nos,1 INCH FOOT VALVE,98059000
8 X 8 PU CONNECTOR,Consumable,Nos,8 X 8 PU CONNECTOR,98059000
PVC BALL VALVE 50 MM,Consumable,Nos,PVC BALL VALVE 50 MM,98059000
BINDING WIRE,Consumable,Nos,BINDING WIRE,98059000
ALLEN BOLT 6 X 55,Consumable,Nos,ALLEN BOLT 6 X 55,98059000
1/2 INCH GI END CAP,Consumable,Nos,1/2 INCH GI END CAP,98059000
3 INCH HINJES,Consumable,Nos,3 INCH HINJES,98059000
1/2 X 6 INCH BRASS NIPPLE,Consumable,Nos,1/2 X 6 INCH BRASS NIPPLE,98059000
1/2 X 12 BRASS NIPPLE,Consumable,Nos,1/2 X 12 BRASS NIPPLE,98059000
1/2 X 8 PU CONNECTOR,Consumable,Nos,1/2 X 8 PU CONNECTOR,98059000
UPVC 1/2 BRASS BRACKET,Consumable,Nos,UPVC 1/2 BRASS BRACKET,98059000
CONTACT TIP 1.2 M6/DIA.8X24 AI  - 42.0001.6528.10,Consumable,Nos,CONTACT TIP 1.2 M6/DIA.8X24 AI  - 42.0001.6528.10,98059000
ROBOT TIP ADAPTOR,Consumable,Nos,ROBOT TIP ADAPTOR,98059000
M6 X 40 MS NUT,Consumable,Nos,M6 X 40 MS NUT,98059000
M6 X 40 MS BOLT & WASHER,Consumable,Nos,M6 X 40 MS BOLT & WASHER,98059000
ALLEN BOLT M8*80,Consumable,Nos,ALLEN BOLT M8*80,98059000
LIGHTNING ARRESTER,Consumable,Nos,LIGHTNING ARRESTER,98059000
SPANNER SET OPEN TYPE 6 TO 32,Consumable,Nos,SPANNER SET OPEN TYPE 6 TO 32,98059000
V BELT A-25,Consumable,Nos,V BELT A-25,98059000
BRIDGE CAM WELDING GAUGE,Consumable,Nos,BRIDGE CAM WELDING GAUGE,98059000
FILLET WELD GAUGE INSIZE MAKE - 0.5 MM TO 5 MM,Consumable,Nos,FILLET WELD GAUGE INSIZE MAKE - 0.5 MM TO 5 MM,98059000
STICKER ROLL (CIRCLE),Consumable,Nos,STICKER ROLL (CIRCLE),98059000
PP SHEET 1000X2000X25 THK,Consumable,Nos,PP SHEET 1000X2000X25 THK,98059000
M8X40 ALLEN BOLT,Consumable,Nos,M8X40 ALLEN BOLT,98059000
M5X55 MM SCREW WITH NUT & WASHER,Consumable,Nos,M5X55 MM SCREW WITH NUT & WASHER,98059000
M5X65 MM SCREW WITH NUT & WASHER,Consumable,Nos,M5X65 MM SCREW WITH NUT & WASHER,98059000
PINUP BOARD - 4X3 FT,Consumable,Nos,PINUP BOARD - 4X3 FT,98059000
Blue colour M-8 hose pipe high quality,Consumable,Nos,Blue colour M-8 hose pipe high quality,98059000
PINEWOOD PALLET  2400X1000 MM,Consumable,Nos,PINEWOOD PALLET  2400X1000 MM,98059000
MONTHLY RENTAL CHARGES FOR 7 MTR CUBE COMMERCIAL CYLINDER,Consumable,Nos,MONTHLY RENTAL CHARGES FOR 7 MTR CUBE COMMERCIAL CYLINDER,98059000
PER DAY RENTAL CHARGES FOR (150 MTR CUBE) MINI BULK,Consumable,Nos,PER DAY RENTAL CHARGES FOR (150 MTR CUBE) MINI BULK,98059000
MONTHLY RENTAL CHARGES FOR UHP 99.999% ARGON CYLINDER- 7 MTR CUBE,Consumable,Nos,MONTHLY RENTAL CHARGES FOR UHP 99.999% ARGON CYLINDER- 7 MTR CUBE,98059000
AIR BAG 900 X 1800 MM,Consumable,Nos,AIR BAG 900 X 1800 MM,98059000
Aluminum Wire RD 4043 -1.2MM DIA,Consumable,Nos,Aluminum Wire RD 4043 -1.2MM DIA,98059000
THINNER NO.844,Consumable,Nos,THINNER NO.844,98059000
FRONIUS INSULATION RING- PART NO.- 42.0100.1329,Consumable,Nos,FRONIUS INSULATION RING- PART NO.- 42.0100.1329,98059000
SAFETY HELMET,Consumable,Nos,SAFETY HELMET,98059000
SANDER MACHINE PAD,Consumable,Nos,SANDER MACHINE PAD,98059000
SCRAPER,Consumable,Nos,SCRAPER,98059000
CO2 TIP HOLDER 1.2 MM,Consumable,Nos,CO2 TIP HOLDER 1.2 MM,98059000
ROBOT WELDING NOZZLE,Consumable,Nos,ROBOT WELDING NOZZLE,98059000
4 INCH GRINDING MACHINE,Consumable,Nos,4 INCH GRINDING MACHINE,98059000
GAS DIFFUSER,Consumable,Nos,GAS DIFFUSER,98059000
WOODEN PALLET 1800X2400,Consumable,Nos,WOODEN PALLET 1800X2400,98059000
