Item Code,Item Group,Default Unit of Measure,Item Name,HSN/SAC
COTTON MASK- GREEN COLOUR,Consumable,Nos,COTTON MASK- GREEN COLOUR,98059000
PLC PROGRAMMING COMMUNICATION CABLE WITH CONNECTOR,Consumable,Nos,PLC PROGRAMMING COMMUNICATION CABLE WITH CONNECTOR,98059000
AUTONICS MODULE WITH CONNECTOR CABLE,Consumable,Nos,AUTONICS MODULE WITH CONNECTOR CABLE,98059000
PEX FITTING CONNECTOR,Consumable,Nos,PEX FITTING CONNECTOR,98059000
MS ZINK PLATED M6*75 MM NUT BOLT WITH WASHER,Consumable,Nos,MS ZINK PLATED M6*75 MM NUT BOLT WITH WASHER,98059000
WHITE GOGGLE,Consumable,Nos,WHITE GOGGLE,98059000
BUTTON FOLDER,Consumable,Nos,BUTTON FOLDER,98059000
BOND PAPER,Consumable,Nos,BOND PAPER,98059000
PNEUMATICH SWITCH,Consumable,Nos,PNEUMATICH SWITCH,98059000
CLAMPING PAD,Consumable,Nos,CLAMPING PAD,98059000
TAPER DRILL BIT 14 MM TOTEM  MAKE,Consumable,Nos,TAPER DRILL BIT 14 MM TOTEM  MAKE,98059000
"TAP SET (1,2,3)  M12*1.75 MM-TOTEM MAKE",Consumable,Nos,"TAP SET (1,2,3)  M12*1.75 MM-TOTEM MAKE",98059000
ALLEN BOLT 12*35 MM WITH SPRING WASHER FULL THREADED,Consumable,Nos,ALLEN BOLT 12*35 MM WITH SPRING WASHER FULL THREADED,98059000
DA 32X160 PNEUMATIC CYLINDER (MAGNETIC) WITH ADJ. CUSHIONING.,Consumable,Nos,DA 32X160 PNEUMATIC CYLINDER (MAGNETIC) WITH ADJ. CUSHIONING.,98059000
16A METALIC BOARD WITH DOUBLE PLUG DOUBLE SOCKET WITH DOUBLE MCB 2POLE,Consumable,Nos,16A METALIC BOARD WITH DOUBLE PLUG DOUBLE SOCKET WITH DOUBLE MCB 2POLE,98059000
ROBOTIC BEND NECK,Consumable,Nos,ROBOTIC BEND NECK,98059000
25MM PEX FITTING MALE CONNECTOR,Consumable,Nos,25MM PEX FITTING MALE CONNECTOR,98059000
25 MM ELBOW PEX FITTING CONNECTOR,Consumable,Nos,25 MM ELBOW PEX FITTING CONNECTOR,98059000
ALLEN BOLT 6*10 MM WITH SPRING WASHER FULL THREADED,Consumable,Nos,ALLEN BOLT 6*10 MM WITH SPRING WASHER FULL THREADED,98059000
ALLEN BOLT- 10*35 FULL THREADED,Consumable,Nos,ALLEN BOLT- 10*35 FULL THREADED,98059000
HEX NUT M 10*100,Consumable,Nos,HEX NUT M 10*100,98059000
4 INCH DEWALT DW810 GRINDER -CARBON BRUSH,Consumable,Nos,4 INCH DEWALT DW810 GRINDER -CARBON BRUSH,98059000
BEND NECK FOR THE PSF 405 TORCH,Consumable,Nos,BEND NECK FOR THE PSF 405 TORCH,98059000
DRILL MACHINE,Consumable,Nos,DRILL MACHINE,98059000
PU FLOW CONTROL VALVE CONNECTOR,Consumable,Nos,PU FLOW CONTROL VALVE CONNECTOR,98059000
"TAP SET (1,2,3) M5*0.8MM-TOTEM MAKE",Consumable,Nos,"TAP SET (1,2,3) M5*0.8MM-TOTEM MAKE",98059000
ALLEN BOLT M12*40 MM WITH SPRING WASHER FULL THREADED,Consumable,Nos,ALLEN BOLT M12*40 MM WITH SPRING WASHER FULL THREADED,98059000
1/2 INCH *10 MM FLOW CONTROL  VALVE JANATICS,Consumable,Nos,1/2 INCH *10 MM FLOW CONTROL  VALVE JANATICS,98059000
DOUBLE ROD CYLINDER BORE DIA-20MM STROKE-100MM -PHOENIX,Consumable,Nos,DOUBLE ROD CYLINDER BORE DIA-20MM STROKE-100MM -PHOENIX,98059000
HRC FUSE FOR- 100 AMP BUS BAR,Consumable,Nos,HRC FUSE FOR- 100 AMP BUS BAR,98059000
MS PLATE 1500X750X30 MM,Consumable,Nos,MS PLATE 1500X750X30 MM,98059000
MS PLATE 1500X80X30 MM,Consumable,Nos,MS PLATE 1500X80X30 MM,98059000
MS PLATE 900X250X30 MM,Consumable,Nos,MS PLATE 900X250X30 MM,98059000
ESAB PORTABLE WELDING MACHINE REPAIRING (PCB CARD REPAIRING & MOSPET ),Consumable,Nos,ESAB PORTABLE WELDING MACHINE REPAIRING (PCB CARD REPAIRING & MOSPET ),98059000
VACCINE COVISHIELD,Consumable,Nos,VACCINE COVISHIELD,98059000
COMPRESSOR MS PAINT BOOTH,Consumable,Nos,COMPRESSOR MS PAINT BOOTH,98059000
GRANITE BLACK LINE TYPE STEEL GREY,Consumable,Nos,GRANITE BLACK LINE TYPE STEEL GREY,98059000
KADAPPA,Consumable,Nos,KADAPPA,98059000
MOULDING ON GRANITE,Consumable,Nos,MOULDING ON GRANITE,98059000
Buckets for toilet use,Consumable,Nos,Buckets for toilet use,98059000
PLASTIC MUG,Consumable,Nos,PLASTIC MUG,98059000
PLASTIC BOTTLES FOR HAND WASH,Consumable,Nos,PLASTIC BOTTLES FOR HAND WASH,98059000
TARPAULIN (40 X 60 FEET),Consumable,Nos,TARPAULIN (40 X 60 FEET),98059000
TARPAULIN (30 X 50 FEET),Consumable,Nos,TARPAULIN (30 X 50 FEET),98059000
"MS PLATE 1500X750X30 MM - MACHINING, DRILLING AND BEND REMOVING CHARGE",Consumable,Nos,"MS PLATE 1500X750X30 MM - MACHINING, DRILLING AND BEND REMOVING CHARGE",98059000
"MS PLATE 1500X80X30 MM MACHINING, DRILLING & BEND REMOVING CHARGE",Consumable,Nos,"MS PLATE 1500X80X30 MM MACHINING, DRILLING & BEND REMOVING CHARGE",98059000
TOGGLE CLAMP HTC 2550 -STEEL SMITH,Consumable,Nos,TOGGLE CLAMP HTC 2550 -STEEL SMITH,98059000
TOGGLE CLAMP 600 FM -STEEL SMITH,Consumable,Nos,TOGGLE CLAMP 600 FM -STEEL SMITH,98059000
SCREW M5 X 60 WITHOUT COUNTERSINK,Consumable,Nos,SCREW M5 X 60 WITHOUT COUNTERSINK,98059000
MS PIPE 75*75*4,Consumable,Nos,MS PIPE 75*75*4,98059000
LINK ASSEMBLY,Consumable,Nos,LINK ASSEMBLY,98059000
PIVOT,Consumable,Nos,PIVOT,98059000
Y FORK FOR 100X160 CYLINDER,Consumable,Nos,Y FORK FOR 100X160 CYLINDER,98059000
LINKAGE ASSEMBLY,Consumable,Nos,LINKAGE ASSEMBLY,98059000
100X160 CYLINDER MOUNTING TRUNION,Consumable,Nos,100X160 CYLINDER MOUNTING TRUNION,98059000
100X160 CYLINDER Y FORK,Consumable,Nos,100X160 CYLINDER Y FORK,98059000
4 INCH DEWALT DW810 GRINDER -COIL,Consumable,Nos,4 INCH DEWALT DW810 GRINDER -COIL,98059000
4 INCH DEWALT DW810 GRINDER -ARMATURE,Consumable,Nos,4 INCH DEWALT DW810 GRINDER -ARMATURE,98059000
4 INCH BOSCH GWS600 GRINDER -CARBON BRUSH,Consumable,Nos,4 INCH BOSCH GWS600 GRINDER -CARBON BRUSH,98059000
4 INCH BOSCH GWS600 GRINDER -ARMATURE,Consumable,Nos,4 INCH BOSCH GWS600 GRINDER -ARMATURE,98059000
4 INCH HIKOKI PDA-100M GRINDER -CARBON BRUSH,Consumable,Nos,4 INCH HIKOKI PDA-100M GRINDER -CARBON BRUSH,98059000
4 INCH HIKOKI PDA-100M GRINDER -COIL,Consumable,Nos,4 INCH HIKOKI PDA-100M GRINDER -COIL,98059000
4 INCH HIKOKI PDA-100M GRINDER-ARMATURE,Consumable,Nos,4 INCH HIKOKI PDA-100M GRINDER-ARMATURE,98059000
MTB 500I W R OVT/36°/L366/H86 (ROBOT NECK),Consumable,Nos,MTB 500I W R OVT/36°/L366/H86 (ROBOT NECK),98059000
GAS NOZZLE DIA.15/DAI.25X61 CT,Consumable,Nos,GAS NOZZLE DIA.15/DAI.25X61 CT,98059000
4 INCH CUTTING BLADE,Consumable,Nos,4 INCH CUTTING BLADE,98059000
BLACK GOGGLE,Consumable,Nos,BLACK GOGGLE,98059000
SAFETY BELT WITH LANYARD -KARAM (PN 56),Consumable,Nos,SAFETY BELT WITH LANYARD -KARAM (PN 56),98059000
ESAB WELDING MACHINE,Consumable,Nos,ESAB WELDING MACHINE,98059000
TOILET BRUSH,Consumable,Nos,TOILET BRUSH,98059000
DOOR MAT TURF MAT GREEN,Consumable,Nos,DOOR MAT TURF MAT GREEN,98059000
1.5 SQ MM COPPER FLEXIBLE CABLE 2 CORE (POLYCAB),Consumable,Nos,1.5 SQ MM COPPER FLEXIBLE CABLE 2 CORE (POLYCAB),98059000
