Item Code,Item Group,Default Unit of Measure,Item Name,HSN/SAC,Alloy,Finish Type,Color Type,Valuation Rate,Disabled,Profile,Item Type Standard
MS ROUND BAR DIA 8.00 MM,MS,Kg,MS ROUND BAR DIA 8.00 MM,,NA,Semi-Finished,NA,0,0,,Non-Standard
DIVERTOR BOX 450X240X80MM,MS,Kg,DIVERTOR BOX 450X240X80MM,,NA,NA,NA,0,0,,Non-Standard
DB BOX 100X150 MM (INNER FACE)-200X250 MM (OUTER FACE),MS,Kg,DB BOX 100X150 MM (INNER FACE)-200X250 MM (OUTER FACE),,NA,NA,NA,0,0,,Non-Standard
DB BOX 265X400 MM (INNER FACE)-285X420 MM (OUTER FACE),MS,Kg,DB BOX 265X400 MM (INNER FACE)-285X420 MM (OUTER FACE),,NA,NA,NA,0,0,,Non-Standard
DB BOX 360X425 MM(INNER FACE)-380X445 MM(OUTER FACE),MS,Kg,DB BOX 360X425 MM(INNER FACE)-380X445 MM(OUTER FACE),,NA,NA,NA,0,0,,Non-Standard
DB BOX 395X425MM (INNER FACE)- 415X445MM (OUTER FACE),MS,Kg,DB BOX 395X425MM (INNER FACE)- 415X445MM (OUTER FACE),,NA,NA,NA,0,0,,Non-Standard
DB BOX 255X265MM (INNER FACE)- 275X285MM (OUTER BOX),MS,Kg,DB BOX 255X265MM (INNER FACE)- 275X285MM (OUTER BOX),,NA,NA,NA,0,0,,Non-Standard
DB BOX 255X425 MM (INNER FACE)- 275X445MM (OUTER FACE),MS,Kg,DB BOX 255X425 MM (INNER FACE)- 275X445MM (OUTER FACE),,NA,NA,NA,0,0,,Non-Standard
L-BRACKET - WALLER BRACKET,MS,Kg,L-BRACKET - WALLER BRACKET,,NA,Finished,NA,0,0,,Non-Standard
12 MM STEEL ROUND BAR,MS,Kg,12 MM STEEL ROUND BAR,,NA,NA,NA,0,0,,Non-Standard
MS FLAT 40 X 3 THK - 5000 MM LONG  (IS202-GR - A ),MS,Kg,MS FLAT 40 X 3 THK - 5000 MM LONG  (IS202-GR - A ),,NA,NA,NA,0,0,,Non-Standard
L- BRACKET - WALLER BRACKET,MS,Kg,L- BRACKET - WALLER BRACKET,,NA,NA,NA,0,0,,Non-Standard
SQ TUBE 50 X 50 X 2 MM,MS,Kg,SQ TUBE 50 X 50 X 2 MM,,NA,NA,NA,0,0,,Non-Standard
ZINC GOLDEN PLATING CHARGES,MS,Kg,ZINC GOLDEN PLATING CHARGES,,NA,NA,NA,0,0,,Non-Standard
PROP 2 X 1.5 AS PER OLD DWG,MS,Kg,PROP 2 X 1.5 AS PER OLD DWG,,NA,NA,NA,0,0,,Non-Standard
PPGI SHEET 12FT X 3.5 FT X 0.50 MM,MS,Kg,PPGI SHEET 12FT X 3.5 FT X 0.50 MM,,NA,NA,NA,0,0,,Non-Standard
SQ. PLATE 150X150X6 MM,MS,Kg,SQ. PLATE 150X150X6 MM,,NA,NA,NA,0,0,,Non-Standard
PPGI SHEET 5FTX3.5FTX0.50 MM,MS,Kg,PPGI SHEET 5FTX3.5FTX0.50 MM,,NA,NA,NA,0,0,,Non-Standard
PPGI SHEET 14 FTX3.5FTX0.50 MM,MS,Kg,PPGI SHEET 14 FTX3.5FTX0.50 MM,,NA,NA,NA,0,0,,Non-Standard
LABOUR CHARGES PER PROP,MS,Kg,LABOUR CHARGES PER PROP,,NA,NA,NA,0,0,,Non-Standard
I BEAM 100X50 MM,MS,Kg,I BEAM 100X50 MM,,NA,NA,NA,0,0,,Non-Standard
SP-PROP PLATE 75X 95 X 4 THK,MS,Kg,SP-PROP PLATE 75X 95 X 4 THK,,NA,Finished,NA,0,0,,Non-Standard
SIZE 60X60X60X25X25X3 MM,MS,Kg,SIZE 60X60X60X25X25X3 MM,,NA,NA,NA,0,0,,Non-Standard
GAS PIPELINE COVER 60X60X25,MS,Kg,GAS PIPELINE COVER 60X60X25,,NA,NA,NA,0,0,,Non-Standard
ANCHOR NUT 650 GRAMS,MS,Kg,ANCHOR NUT 650 GRAMS,,NA,Finished,NA,0,0,,Non-Standard
DIVERTOR BOX 150X150X100 MM,MS,Kg,DIVERTOR BOX 150X150X100 MM,,NA,NA,NA,0,0,,Non-Standard
DIVERTOR BOX 450X420X80 MM,MS,Kg,DIVERTOR BOX 450X420X80 MM,,NA,NA,NA,0,0,,Non-Standard
DIVERTOR BOX 1255X300X50 MM,MS,Kg,DIVERTOR BOX 1255X300X50 MM,,NA,NA,NA,0,0,,Non-Standard
DIVERTOR BOX 500X300X160 MM,MS,Kg,DIVERTOR BOX 500X300X160 MM,,NA,NA,NA,0,0,,Non-Standard
DIVERTOR BOX 500X300X100 MM,MS,Kg,DIVERTOR BOX 500X300X100 MM,,NA,NA,NA,0,0,,Non-Standard
DIVERTOR BOX 580X260X90 MM,MS,Kg,DIVERTOR BOX 580X260X90 MM,,NA,NA,NA,0,0,,Non-Standard
ANCHOR NUT 90MM 420 GM ZINC PLATED GOLDEN COLOR,MS,Kg,ANCHOR NUT 90MM 420 GM ZINC PLATED GOLDEN COLOR,,NA,NA,NA,0,0,,Non-Standard
200X200X5 MS PLATE,MS,Kg,200X200X5 MS PLATE,,NA,NA,NA,0,0,,Non-Standard
