Item Code,Item Group,Default Unit of Measure,Item Name,Alloy,Finish Type,Color Type,HSN/SAC,Allow Alternative Item,Standard or NonStandard,Profile,Maintain Stock,Has Variants,Include Item In Manufacturing,Opening Stock,Valuation Rate,Description,End of Life,Default Material Request Type,Weight Per Unit,Weight UOM,Allow Negative Stock,Has Serial No,Serial Number Series,Variant Based On,Default Purchase Unit of Measure,Allow Purchase,Delivered by Supplier (Drop Ship),Barcode Type (Barcodes),UOM (Barcodes),UOM (UOMs),Conversion Factor (UOMs),Company (Item Defaults),Default Warehouse (Item Defaults)
95 IC,Aluminium,Nos,95 IC,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,1066,1,1,1,0,0,95 IC,31/12/2099,Purchase,0,Kg,0,1,,Item Attribute,Kg,1,1,,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
90 IC,Aluminium,Nos,90 IC,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,1065,1,1,1,0,0,90 IC,31/12/2099,Purchase,0,Kg,0,1,,Item Attribute,Kg,1,1,,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
85 IC,Aluminium,Nos,85 IC,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,1064,1,1,1,0,0,85 IC,31/12/2099,Purchase,0,Kg,0,1,,Item Attribute,Kg,1,1,,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
80 IC,Aluminium,Nos,80 IC,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,1063,1,1,1,0,0,80 IC,31/12/2099,Purchase,0,Kg,0,1,,Item Attribute,Kg,1,1,,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
75 IC,Aluminium,Nos,75 IC,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,1062,1,1,1,0,0,75 IC,31/12/2099,Purchase,0,Kg,0,1,,Item Attribute,Kg,1,1,,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
70 IC,Aluminium,Nos,70 IC,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,1061,1,1,1,0,0,70 IC,31/12/2099,Purchase,0,Kg,0,1,,Item Attribute,Kg,1,1,,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
260 C,Aluminium,Nos,260 C,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,1042,1,1,1,0,0,260 C,31/12/2099,Purchase,0,Kg,0,1,,Item Attribute,Kg,1,1,,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
250 C,Aluminium,Nos,250 C,6061/T6,FINISHED,NATURAL,76041031,0,Standard,1040,1,1,1,0,0,250 C,31/12/2099,Purchase,0,Kg,0,1,,Item Attribute,Kg,1,1,,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
240 C,Aluminium,Nos,240 C,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,1038,1,1,1,0,0,240 C,31/12/2099,Purchase,0,Kg,0,1,,Item Attribute,Kg,1,1,,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
230 C,Aluminium,Nos,230 C,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,1036,1,1,1,0,0,230 C,31/12/2099,Purchase,0,Kg,0,1,,Item Attribute,Kg,1,1,,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
225 C,Aluminium,Nos,225 C,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,1035,1,1,1,0,0,225 C,31/12/2099,Purchase,0,Kg,0,1,,Item Attribute,Kg,1,1,,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
210 C,Aluminium,Nos,210 C,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,1032,1,1,1,0,0,210 C,31/12/2099,Purchase,0,Kg,0,1,,Item Attribute,Kg,1,1,,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
200 C,Aluminium,Nos,200 C,6061/T6,MILL,NATURAL,76041031,0,Standard,1030,1,1,1,0,0,200 C,31/12/2099,Purchase,0,Kg,0,1,,Item Attribute,Kg,1,1,,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
195 C,Aluminium,Nos,195 C,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,1029,1,1,1,0,0,195 C,31/12/2099,Purchase,0,Kg,0,1,,Item Attribute,Kg,1,1,,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
190 C,Aluminium,Nos,190 C,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,1028,1,1,1,0,0,190 C,31/12/2099,Purchase,0,Kg,0,1,,Item Attribute,Kg,1,1,,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
185 C,Aluminium,Nos,185 C,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,1027,1,1,1,0,0,185 C,31/12/2099,Purchase,0,Kg,0,1,,Item Attribute,Kg,1,1,,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
180 C,Aluminium,Nos,180 C,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,1026,1,1,1,0,0,180 C,31/12/2099,Purchase,0,Kg,0,1,,Item Attribute,Kg,1,1,,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
175 C,Aluminium,Nos,175 C,6061/T6,MILL,NATURAL,76041031,0,Standard,1025,1,1,1,0,0,175 C,31/12/2099,Purchase,0,Kg,0,1,,Item Attribute,Kg,1,1,,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
170 C,Aluminium,Nos,170 C,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,1024,1,1,1,0,0,170 C,31/12/2099,Purchase,0,Kg,0,1,,Item Attribute,Kg,1,1,,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
165 C,Aluminium,Nos,165 C,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,1023,1,1,1,0,0,165 C,31/12/2099,Purchase,0,Kg,0,1,,Item Attribute,Kg,1,1,,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
160 C,Aluminium,Nos,160 C,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,1022,1,1,1,0,0,160 C,31/12/2099,Purchase,0,Kg,0,1,,Item Attribute,Kg,1,1,,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
150 C,Aluminium,Nos,150 C,6061/T6,MILL,NATURAL,76041031,0,Standard,1020,1,1,1,0,0,150 C,31/12/2099,Purchase,0,Kg,0,1,,Item Attribute,Kg,1,1,,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
145 C,Aluminium,Nos,145 C,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,1019,1,1,1,0,0,145 C,31/12/2099,Purchase,0,Kg,0,1,,Item Attribute,Kg,1,1,,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
140 C,Aluminium,Nos,140 C,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,1018,1,1,1,0,0,140 C,31/12/2099,Purchase,0,Kg,0,1,,Item Attribute,Kg,1,1,,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
135 C,Aluminium,Nos,135 C,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,1017,1,1,1,0,0,135 C,31/12/2099,Purchase,0,Kg,0,1,,Item Attribute,Kg,1,1,,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
130 C,Aluminium,Nos,130 C,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,1016,1,1,1,0,0,130 C,31/12/2099,Purchase,0,Kg,0,1,,Item Attribute,Kg,1,1,,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
125 C,Aluminium,Nos,125 C,6061/T6,MILL,NATURAL,76041031,0,Standard,1015,1,1,1,0,0,125 C,31/12/2099,Purchase,0,Kg,0,1,,Item Attribute,Kg,1,1,,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
120 C,Aluminium,Nos,120 C,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,1014,1,1,1,0,0,120 C,31/12/2099,Purchase,0,Kg,0,1,,Item Attribute,Kg,1,1,,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
115 C,Aluminium,Nos,115 C,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,1013,1,1,1,0,0,115 C,31/12/2099,Purchase,0,Kg,0,1,,Item Attribute,Kg,1,1,,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
110 C,Aluminium,Nos,110 C,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,1012,1,1,1,0,0,110 C,31/12/2099,Purchase,0,Kg,0,1,,Item Attribute,Kg,1,1,,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
105 C,Aluminium,Nos,105 C,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,1011,1,1,1,0,0,105 C,31/12/2099,Purchase,0,Kg,0,1,,Item Attribute,Kg,1,1,,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
85 C,Aluminium,Nos,85 C,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,1007,1,1,1,0,0,85 C,31/12/2099,Purchase,0,Kg,0,1,,Item Attribute,Kg,1,1,,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
70 C,Aluminium,Nos,70 C,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,1004,1,1,1,0,0,70 C,31/12/2099,Purchase,0,Kg,0,1,,Item Attribute,Kg,1,1,,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
65 C,Aluminium,Nos,65 C,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,1003,1,1,1,0,0,65 C,31/12/2099,Purchase,0,Kg,0,1,,Item Attribute,Kg,1,1,,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
100 C,Aluminium,Nos,100 C,6061/T6,SEMI FINISH,NATURAL,76041031,0,Standard,1010,1,1,1,0,0,100 C,31/12/2099,Purchase,0,Kg,0,1,100C.MM.YY.#######,Item Attribute,Kg,1,1,,Nos,Nos,1,Knest Manufacturers LLP,Stores - KML
95 C,Aluminium,Nos,95 C,6061/T6,MILL,NATURAL,76041031,0,Standard,1009,1,1,1,0,0,95 C,31/12/2099,Purchase,0,Kg,0,1,,Item Attribute,Kg,1,1,,,Nos,1,Knest Manufacturers LLP,Stores - KML
90 C,Aluminium,Nos,90 C,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,1008,1,1,1,0,0,90 C,31/12/2099,Purchase,0,Kg,0,1,,Item Attribute,Kg,1,1,,,Nos,1,Knest Manufacturers LLP,Stores - KML
80 C,Aluminium,Nos,80 C,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,1006,1,1,1,0,0,80 C,31/12/2099,Purchase,0,Kg,0,1,,Item Attribute,Kg,1,1,,,Nos,1,Knest Manufacturers LLP,Stores - KML
75 C,Aluminium,Nos,75 C,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,1005,1,1,1,0,0,75 C,31/12/2099,Purchase,0,Kg,0,1,,Item Attribute,Kg,1,1,,,Nos,1,Knest Manufacturers LLP,Stores - KML
60 C,Aluminium,Nos,60 C,6061/T6,MILL,NATURAL,76041031,0,Standard,1002,1,1,1,0,0,60 C,31/12/2099,Purchase,0,Kg,0,1,,Item Attribute,Kg,1,1,,,Nos,1,Knest Manufacturers LLP,Stores - KML
55 C,Aluminium,Nos,55 C,6061/T6,MILL,NATURAL,76041031,0,Irregular,1001,1,1,1,0,0,55 C,31/12/2099,Purchase,0,Kg,0,1,,Item Attribute,Kg,1,1,,,Nos,1,Knest Manufacturers LLP,Stores - KML
50C,Aluminium,Nos,50C,6061/T6,MILL,NATURAL,76041031,0,Non-Standard,,1,1,1,0,0,50C,31/12/2099,Purchase,0,Kg,0,1,,Item Attribute,Kg,1,1,,,Nos,1,Knest Manufacturers LLP,Stores - KML
